target_chembl_id,target_organism,document_journal,document_year,activity_id,standard_type,molecule_pref_name,target_pref_name,assay_chembl_id,bao_format,pchembl_value,assay_description
CHEMBL392,Homo sapiens,None,None,13204639,IC50,TEMSIROLIMUS,A549,CHEMBL2363732,BAO_0000219,7.7,SANGER: Inhibition of human A549 cell growth in a cell viability assay.
CHEMBL614530,Homo sapiens,None,None,13204772,IC50,TEMSIROLIMUS,BXPC-3,CHEMBL2363768,BAO_0000219,6.1,SANGER: Inhibition of human BxPC-3 cell growth in a cell viability assay.
CHEMBL2366313,Homo sapiens,None,None,13204871,IC50,TEMSIROLIMUS,C-33-A,CHEMBL2363769,BAO_0000219,6.41,SANGER: Inhibition of human C-33-A cell growth in a cell viability assay.
CHEMBL1075428,Homo sapiens,None,None,13205000,IC50,TEMSIROLIMUS,COLO-741,CHEMBL2363138,BAO_0000219,6.12,SANGER: Inhibition of human COLO-741 cell growth in a cell viability assay.
CHEMBL1075429,Homo sapiens,None,None,13205099,IC50,TEMSIROLIMUS,COLO-792,CHEMBL2363139,BAO_0000219,6.56,SANGER: Inhibition of human COLO-792 cell growth in a cell viability assay.
CHEMBL2366186,Homo sapiens,None,None,13205222,IC50,TEMSIROLIMUS,DEL,CHEMBL2363176,BAO_0000219,8.26,SANGER: Inhibition of human DEL cell growth in a cell viability assay.
CHEMBL2366264,Homo sapiens,None,None,13205430,IC50,TEMSIROLIMUS,DJM-1,CHEMBL2363178,BAO_0000219,5.42,SANGER: Inhibition of human DJM-1 cell growth in a cell viability assay.
CHEMBL614517,Homo sapiens,None,None,13205454,IC50,TEMSIROLIMUS,A673,CHEMBL2363733,BAO_0000219,6.79,SANGER: Inhibition of human A673 cell growth in a cell viability assay.
CHEMBL614567,Homo sapiens,None,None,13205578,IC50,TEMSIROLIMUS,A704,CHEMBL2363734,BAO_0000219,5.43,SANGER: Inhibition of human A704 cell growth in a cell viability assay.
CHEMBL1075391,Homo sapiens,None,None,13205671,IC50,TEMSIROLIMUS,ABC-1,CHEMBL2363735,BAO_0000219,6.49,SANGER: Inhibition of human ABC-1 cell growth in a cell viability assay.
CHEMBL2366283,Homo sapiens,None,None,13205763,IC50,TEMSIROLIMUS,C2BBe1,CHEMBL2363771,BAO_0000219,6.23,SANGER: Inhibition of human C2BBe1 cell growth in a cell viability assay.
CHEMBL1075401,Homo sapiens,None,None,13205862,IC50,TEMSIROLIMUS,C32,CHEMBL2363772,BAO_0000219,7.33,SANGER: Inhibition of human C32 cell growth in a cell viability assay.
CHEMBL2366224,Homo sapiens,None,None,13205957,IC50,TEMSIROLIMUS,COLO-800,CHEMBL2363140,BAO_0000219,6.89,SANGER: Inhibition of human COLO-800 cell growth in a cell viability assay.
CHEMBL1075430,Homo sapiens,None,None,13206096,IC50,TEMSIROLIMUS,COLO-824,CHEMBL2363141,BAO_0000219,4.74,SANGER: Inhibition of human COLO-824 cell growth in a cell viability assay.
CHEMBL1075433,Homo sapiens,None,None,13206249,IC50,TEMSIROLIMUS,DK-MG,CHEMBL2363179,BAO_0000219,6.52,SANGER: Inhibition of human DK-MG cell growth in a cell viability assay.
CHEMBL614642,Homo sapiens,None,None,13206388,IC50,TEMSIROLIMUS,DMS-114,CHEMBL2363180,BAO_0000219,6.92,SANGER: Inhibition of human DMS-114 cell growth in a cell viability assay.
CHEMBL614519,Homo sapiens,None,None,13206487,IC50,TEMSIROLIMUS,ACHN,CHEMBL2363736,BAO_0000219,6.55,SANGER: Inhibition of human ACHN cell growth in a cell viability assay.
CHEMBL2366195,Homo sapiens,None,None,13206622,IC50,TEMSIROLIMUS,ACN,CHEMBL2363737,BAO_0000219,7.88,SANGER: Inhibition of human ACN cell growth in a cell viability assay.
CHEMBL1075402,Homo sapiens,None,None,13206678,IC50,TEMSIROLIMUS,C3A,CHEMBL2363773,BAO_0000219,5.15,SANGER: Inhibition of human C3A cell growth in a cell viability assay.
CHEMBL614533,Homo sapiens,None,None,13206817,IC50,TEMSIROLIMUS,C8166,CHEMBL2363774,BAO_0000219,5.44,SANGER: Inhibition of human C8166 cell growth in a cell viability assay.
CHEMBL2366275,Homo sapiens,None,None,13206956,IC50,TEMSIROLIMUS,COLO-829,CHEMBL2363142,BAO_0000219,5.19,SANGER: Inhibition of human COLO-829 cell growth in a cell viability assay.
CHEMBL1075431,Homo sapiens,None,None,13207052,IC50,TEMSIROLIMUS,COR-L105,CHEMBL2363143,BAO_0000219,7.26,SANGER: Inhibition of human COR-L105 cell growth in a cell viability assay.
CHEMBL614286,Homo sapiens,None,None,13207232,IC50,TEMSIROLIMUS,DMS-79,CHEMBL2363184,BAO_0000219,5.42,SANGER: Inhibition of human DMS-79 cell growth in a cell viability assay.
CHEMBL2366181,Homo sapiens,None,None,13207339,IC50,TEMSIROLIMUS,DOHH-2,CHEMBL2363185,BAO_0000219,7.77,SANGER: Inhibition of human DOHH-2 cell growth in a cell viability assay.
CHEMBL613860,Homo sapiens,None,None,13207435,IC50,TEMSIROLIMUS,AGS,CHEMBL2363738,BAO_0000219,7.85,SANGER: Inhibition of human AGS cell growth in a cell viability assay.
CHEMBL2366294,Homo sapiens,None,None,13207573,IC50,TEMSIROLIMUS,ALL-PO,CHEMBL2363739,BAO_0000219,5.54,SANGER: Inhibition of human ALL-PO cell growth in a cell viability assay.
CHEMBL614067,Homo sapiens,None,None,13207700,IC50,TEMSIROLIMUS,CAKI-1,CHEMBL2363776,BAO_0000219,7.16,SANGER: Inhibition of human CAKI-1 cell growth in a cell viability assay.
CHEMBL1075405,Homo sapiens,None,None,13207799,IC50,TEMSIROLIMUS,CAL-120,CHEMBL2363777,BAO_0000219,5.98,SANGER: Inhibition of human CAL-120 cell growth in a cell viability assay.
CHEMBL613854,Homo sapiens,None,None,13207870,IC50,TEMSIROLIMUS,COR-L23,CHEMBL2363144,BAO_0000219,5.54,SANGER: Inhibition of human COR-L23 cell growth in a cell viability assay.
CHEMBL2366329,Homo sapiens,None,None,13208084,IC50,TEMSIROLIMUS,COR-L88,CHEMBL2363146,BAO_0000219,5.61,SANGER: Inhibition of human COR-L88 cell growth in a cell viability assay.
CHEMBL614034,Homo sapiens,None,None,13208241,IC50,TEMSIROLIMUS,DMS-273,CHEMBL2363182,BAO_0000219,6.14,SANGER: Inhibition of human DMS-273 cell growth in a cell viability assay.
CHEMBL2366192,Homo sapiens,None,None,13208418,IC50,TEMSIROLIMUS,AM-38,CHEMBL2363740,BAO_0000219,6.39,SANGER: Inhibition of human AM-38 cell growth in a cell viability assay.
CHEMBL1075392,Homo sapiens,None,None,13208517,IC50,TEMSIROLIMUS,AN3-CA,CHEMBL2363741,BAO_0000219,7.25,SANGER: Inhibition of human AN3-CA cell growth in a cell viability assay.
CHEMBL1075406,Homo sapiens,None,None,13208613,IC50,TEMSIROLIMUS,CAL-12T,CHEMBL2363778,BAO_0000219,6.1,SANGER: Inhibition of human CAL-12T cell growth in a cell viability assay.
CHEMBL1075408,Homo sapiens,None,None,13208789,IC50,TEMSIROLIMUS,CAL-27,CHEMBL2363780,BAO_0000219,6.46,SANGER: Inhibition of human CAL-27 cell growth in a cell viability assay.
CHEMBL2366076,Homo sapiens,None,None,13208887,IC50,TEMSIROLIMUS,CP50-MEL-B,CHEMBL2363147,BAO_0000219,5.74,SANGER: Inhibition of human CP50-MEL-B cell growth in a cell viability assay.
CHEMBL2366363,Homo sapiens,None,None,13209022,IC50,TEMSIROLIMUS,CP66-MEL,CHEMBL2363148,BAO_0000219,5.43,SANGER: Inhibition of human CP66-MEL cell growth in a cell viability assay.
CHEMBL2366277,Homo sapiens,None,None,13209260,IC50,TEMSIROLIMUS,ATN-1,CHEMBL2363743,BAO_0000219,5.72,SANGER: Inhibition of human ATN-1 cell growth in a cell viability assay.
CHEMBL1075409,Homo sapiens,None,None,13209414,IC50,TEMSIROLIMUS,CAL-33,CHEMBL2363781,BAO_0000219,6.56,SANGER: Inhibition of human CAL-33 cell growth in a cell viability assay.
CHEMBL1075410,Homo sapiens,None,None,13209513,IC50,TEMSIROLIMUS,CAL-39,CHEMBL2363782,BAO_0000219,7.4,SANGER: Inhibition of human CAL-39 cell growth in a cell viability assay.
CHEMBL2366344,Homo sapiens,None,None,13209786,IC50,TEMSIROLIMUS,CTB-1,CHEMBL2363152,BAO_0000219,8.53,SANGER: Inhibition of human CTB-1 cell growth in a cell viability assay.
CHEMBL612657,Homo sapiens,None,None,13209815,IC50,TEMSIROLIMUS,CWR22R,CHEMBL2363708,BAO_0000219,6.67,SANGER: Inhibition of human 22RV1 cell growth in a cell viability assay.
CHEMBL1075382,Homo sapiens,None,None,13209910,IC50,TEMSIROLIMUS,23132-87,CHEMBL2363709,BAO_0000219,7.19,SANGER: Inhibition of human 23132-87 cell growth in a cell viability assay.
CHEMBL612565,Homo sapiens,None,None,13209993,IC50,TEMSIROLIMUS,5637,CHEMBL2363710,BAO_0000219,6.2,SANGER: Inhibition of human 5637 cell growth in a cell viability assay.
CHEMBL1075393,Homo sapiens,None,None,13210073,IC50,TEMSIROLIMUS,AU565,CHEMBL2363744,BAO_0000219,6.49,SANGER: Inhibition of human AU565 cell growth in a cell viability assay.
CHEMBL612588,Homo sapiens,None,None,13210172,IC50,TEMSIROLIMUS,ASPC1,CHEMBL2363745,BAO_0000219,5.94,SANGER: Inhibition of human AsPC-1 cell growth in a cell viability assay.
CHEMBL2366269,Homo sapiens,None,None,13210233,IC50,TEMSIROLIMUS,BALL-1,CHEMBL2363746,BAO_0000219,6.11,SANGER: Inhibition of human BALL-1 cell growth in a cell viability assay.
CHEMBL1075411,Homo sapiens,None,None,13210336,IC50,TEMSIROLIMUS,CAL-51,CHEMBL2363783,BAO_0000219,6.37,SANGER: Inhibition of human CAL-51 cell growth in a cell viability assay.
CHEMBL1075412,Homo sapiens,None,None,13210435,IC50,TEMSIROLIMUS,CAL-54,CHEMBL2363784,BAO_0000219,6.93,SANGER: Inhibition of human CAL-54 cell growth in a cell viability assay.
CHEMBL1075413,Homo sapiens,None,None,13210534,IC50,TEMSIROLIMUS,CAL-62,CHEMBL2363785,BAO_0000219,6.93,SANGER: Inhibition of human CAL-62 cell growth in a cell viability assay.
CHEMBL2366360,Homo sapiens,None,None,13210644,IC50,TEMSIROLIMUS,CTV-1,CHEMBL2363153,BAO_0000219,6.07,SANGER: Inhibition of human CTV-1 cell growth in a cell viability assay.
CHEMBL2366174,Homo sapiens,None,None,13210770,IC50,TEMSIROLIMUS,CW-2,CHEMBL2363154,BAO_0000219,4.67,SANGER: Inhibition of human CW-2 cell growth in a cell viability assay.
CHEMBL1075383,Homo sapiens,None,None,13210812,IC50,TEMSIROLIMUS,639-V,CHEMBL2363711,BAO_0000219,6.47,SANGER: Inhibition of human 639-V cell growth in a cell viability assay.
CHEMBL1075384,Homo sapiens,None,None,13210911,IC50,TEMSIROLIMUS,647-V,CHEMBL2363712,BAO_0000219,6.48,SANGER: Inhibition of human 647-V cell growth in a cell viability assay.
CHEMBL2366271,Homo sapiens,None,None,13211086,IC50,TEMSIROLIMUS,BB30-HNC,CHEMBL2363747,BAO_0000219,5.42,SANGER: Inhibition of human BB30-HNC cell growth in a cell viability assay.
CHEMBL2366295,Homo sapiens,None,None,13211225,IC50,TEMSIROLIMUS,BB49-HNC,CHEMBL2363748,BAO_0000219,6.32,SANGER: Inhibition of human BB49-HNC cell growth in a cell viability assay.
CHEMBL1075414,Homo sapiens,None,None,13211356,IC50,TEMSIROLIMUS,CAL-72,CHEMBL2363786,BAO_0000219,6.58,SANGER: Inhibition of human CAL-72 cell growth in a cell viability assay.
CHEMBL1075415,Homo sapiens,None,None,13211455,IC50,TEMSIROLIMUS,CAL-85-1,CHEMBL2363787,BAO_0000219,5.34,SANGER: Inhibition of human CAL-85-1 cell growth in a cell viability assay.
CHEMBL1075403,Homo sapiens,None,None,13211597,IC50,TEMSIROLIMUS,Ca-Ski,CHEMBL2363155,BAO_0000219,5.93,SANGER: Inhibition of human Ca-Ski cell growth in a cell viability assay.
CHEMBL1075404,Homo sapiens,None,None,13211687,IC50,TEMSIROLIMUS,Ca9-22,CHEMBL2363156,BAO_0000219,7.01,SANGER: Inhibition of human Ca9-22 cell growth in a cell viability assay.
CHEMBL2366253,Homo sapiens,None,None,13211771,IC50,TEMSIROLIMUS,697,CHEMBL2363713,BAO_0000219,8.77,SANGER: Inhibition of human 697 cell growth in a cell viability assay.
CHEMBL1075385,Homo sapiens,None,None,13211861,IC50,TEMSIROLIMUS,769-P,CHEMBL2363714,BAO_0000219,6.4,SANGER: Inhibition of human 769-P cell growth in a cell viability assay.
CHEMBL613102,Homo sapiens,None,None,13211960,IC50,TEMSIROLIMUS,786-0,CHEMBL2363715,BAO_0000219,7.29,SANGER: Inhibition of human 786-0 cell growth in a cell viability assay.
CHEMBL2366247,Homo sapiens,None,None,13212089,IC50,TEMSIROLIMUS,BB65-RCC,CHEMBL2363749,BAO_0000219,8.15,SANGER: Inhibition of human BB65-RCC cell growth in a cell viability assay.
CHEMBL1075416,Homo sapiens,None,None,13212276,IC50,TEMSIROLIMUS,CAMA-1,CHEMBL2363832,BAO_0000219,8.32,SANGER: Inhibition of human CAMA-1 cell growth in a cell viability assay.
CHEMBL614536,Homo sapiens,None,None,13212375,IC50,TEMSIROLIMUS,CAPAN-1,CHEMBL2363833,BAO_0000219,6.05,SANGER: Inhibition of human CAPAN-1 cell growth in a cell viability assay.
CHEMBL1075418,Homo sapiens,None,None,13212512,IC50,TEMSIROLIMUS,CaR-1,CHEMBL2363157,BAO_0000219,5.88,SANGER: Inhibition of human CaR-1 cell growth in a cell viability assay.
CHEMBL614534,Homo sapiens,None,None,13212649,IC50,TEMSIROLIMUS,Calu-3,CHEMBL2363159,BAO_0000219,6.4,SANGER: Inhibition of human Calu-3 cell growth in a cell viability assay.
CHEMBL2366115,Homo sapiens,None,None,13212818,IC50,TEMSIROLIMUS,8-MG-BA,CHEMBL2363716,BAO_0000219,6.39,SANGER: Inhibition of human 8-MG-BA cell growth in a cell viability assay.
CHEMBL1075386,Homo sapiens,None,None,13212917,IC50,TEMSIROLIMUS,8305C,CHEMBL2363717,BAO_0000219,5.69,SANGER: Inhibition of human 8305C cell growth in a cell viability assay.
CHEMBL1075394,Homo sapiens,None,None,13213067,IC50,TEMSIROLIMUS,BCPAP,CHEMBL2363752,BAO_0000219,7.23,SANGER: Inhibition of human BCPAP cell growth in a cell viability assay.
CHEMBL2366100,Homo sapiens,None,None,13213236,IC50,TEMSIROLIMUS,CAS-1,CHEMBL2363834,BAO_0000219,5.44,SANGER: Inhibition of human CAS-1 cell growth in a cell viability assay.
CHEMBL382,Homo sapiens,None,None,13213413,IC50,TEMSIROLIMUS,CCRF-CEM,CHEMBL2363836,BAO_0000219,4.73,SANGER: Inhibition of human CCRF-CEM cell growth in a cell viability assay.
CHEMBL614535,Homo sapiens,None,None,13213513,IC50,TEMSIROLIMUS,Calu-6,CHEMBL2363160,BAO_0000219,5.41,SANGER: Inhibition of human Calu-6 cell growth in a cell viability assay.
CHEMBL1075417,Homo sapiens,None,None,13213664,IC50,TEMSIROLIMUS,Capan-2,CHEMBL2363163,BAO_0000219,5.0,SANGER: Inhibition of human Capan-2 cell growth in a cell viability assay.
CHEMBL1075387,Homo sapiens,None,None,13213734,IC50,TEMSIROLIMUS,8505C,CHEMBL2363718,BAO_0000219,6.49,SANGER: Inhibition of human 8505C cell growth in a cell viability assay.
CHEMBL2366306,Homo sapiens,None,None,13213872,IC50,TEMSIROLIMUS,A101D,CHEMBL2363719,BAO_0000219,7.31,SANGER: Inhibition of human A101D cell growth in a cell viability assay.
CHEMBL2366303,Homo sapiens,None,None,13213925,IC50,TEMSIROLIMUS,BE-13,CHEMBL2363753,BAO_0000219,8.31,SANGER: Inhibition of human BE-13 cell growth in a cell viability assay.
CHEMBL1075395,Homo sapiens,None,None,13214015,IC50,TEMSIROLIMUS,BEN,CHEMBL2363754,BAO_0000219,7.5,SANGER: Inhibition of human BEN cell growth in a cell viability assay.
CHEMBL1075396,Homo sapiens,None,None,13214114,IC50,TEMSIROLIMUS,BFTC-905,CHEMBL2363755,BAO_0000219,6.11,SANGER: Inhibition of human BFTC-905 cell growth in a cell viability assay.
CHEMBL613506,Homo sapiens,None,None,13214262,IC50,TEMSIROLIMUS,CFPAC-1,CHEMBL2363838,BAO_0000219,5.76,SANGER: Inhibition of human CFPAC-1 cell growth in a cell viability assay.
CHEMBL1075421,Homo sapiens,None,None,13214485,IC50,TEMSIROLIMUS,ChaGo-K-1,CHEMBL2363164,BAO_0000219,6.08,SANGER: Inhibition of human ChaGo-K-1 cell growth in a cell viability assay.
CHEMBL2366237,Homo sapiens,None,None,13214599,IC50,TEMSIROLIMUS,D-247MG,CHEMBL2363165,BAO_0000219,6.54,SANGER: Inhibition of human D-247MG cell growth in a cell viability assay.
CHEMBL614512,Homo sapiens,None,None,13214689,IC50,TEMSIROLIMUS,A 172,CHEMBL2363720,BAO_0000219,5.94,SANGER: Inhibition of human A172 cell growth in a cell viability assay.
CHEMBL614514,Homo sapiens,None,None,13214780,IC50,TEMSIROLIMUS,A204,CHEMBL2363721,BAO_0000219,7.41,SANGER: Inhibition of human A204 cell growth in a cell viability assay.
CHEMBL1075397,Homo sapiens,None,None,13214931,IC50,TEMSIROLIMUS,BFTC-909,CHEMBL2363756,BAO_0000219,6.57,SANGER: Inhibition of human BFTC-909 cell growth in a cell viability assay.
CHEMBL1075398,Homo sapiens,None,None,13215030,IC50,TEMSIROLIMUS,BHT-101,CHEMBL2363757,BAO_0000219,6.71,SANGER: Inhibition of human BHT-101 cell growth in a cell viability assay.
CHEMBL2366300,Homo sapiens,None,None,13215120,IC50,TEMSIROLIMUS,CGTH-W-1,CHEMBL2363839,BAO_0000219,8.24,SANGER: Inhibition of human CGTH-W-1 cell growth in a cell viability assay.
CHEMBL1075422,Homo sapiens,None,None,13215219,IC50,TEMSIROLIMUS,CHL-1,CHEMBL2363840,BAO_0000219,8.23,SANGER: Inhibition of human CHL-1 cell growth in a cell viability assay.
CHEMBL2366183,Homo sapiens,None,None,13215460,IC50,TEMSIROLIMUS,D-263MG,CHEMBL2363166,BAO_0000219,6.8,SANGER: Inhibition of human D-263MG cell growth in a cell viability assay.
CHEMBL613503,Homo sapiens,None,None,13215598,IC50,TEMSIROLIMUS,A2058,CHEMBL2363722,BAO_0000219,7.58,SANGER: Inhibition of human A2058 cell growth in a cell viability assay.
CHEMBL614004,Homo sapiens,None,None,13215805,IC50,TEMSIROLIMUS,A2780,CHEMBL2363724,BAO_0000219,8.23,SANGER: Inhibition of human A2780 cell growth in a cell viability assay.
CHEMBL1075399,Homo sapiens,None,None,13215848,IC50,TEMSIROLIMUS,BHY,CHEMBL2363758,BAO_0000219,6.44,SANGER: Inhibition of human BHY cell growth in a cell viability assay.
CHEMBL1075423,Homo sapiens,None,None,13216139,IC50,TEMSIROLIMUS,CHP-212,CHEMBL2363843,BAO_0000219,7.28,SANGER: Inhibition of human CHP-212 cell growth in a cell viability assay.
CHEMBL614476,None,None,None,13216320,IC50,TEMSIROLIMUS,D283 Med,CHEMBL2363167,BAO_0000219,5.16,SANGER: Inhibition of human D-283MED cell growth in a cell viability assay.
CHEMBL2366113,Homo sapiens,None,None,13216434,IC50,TEMSIROLIMUS,D-336MG,CHEMBL2363168,BAO_0000219,7.12,SANGER: Inhibition of human D-336MG cell growth in a cell viability assay.
CHEMBL2366161,Homo sapiens,None,None,13216540,IC50,TEMSIROLIMUS,D-392MG,CHEMBL2363169,BAO_0000219,6.61,SANGER: Inhibition of human D-392MG cell growth in a cell viability assay.
CHEMBL2366273,Homo sapiens,None,None,13216661,IC50,TEMSIROLIMUS,A3-KAW,CHEMBL2363725,BAO_0000219,7.98,SANGER: Inhibition of human A3-KAW cell growth in a cell viability assay.
CHEMBL2366131,Homo sapiens,None,None,13216884,IC50,TEMSIROLIMUS,BPH-1,CHEMBL2363762,BAO_0000219,7.49,SANGER: Inhibition of human BPH-1 cell growth in a cell viability assay.
CHEMBL613870,Homo sapiens,None,None,13216983,IC50,TEMSIROLIMUS,BT-20,CHEMBL2363763,BAO_0000219,6.0,SANGER: Inhibition of human BT-20 cell growth in a cell viability assay.
CHEMBL2366265,Homo sapiens,None,None,13217113,IC50,TEMSIROLIMUS,COLO-320-HSR,CHEMBL2363846,BAO_0000219,4.74,SANGER: Inhibition of human COLO-320-HSR cell growth in a cell viability assay.
CHEMBL2366215,Homo sapiens,None,None,13217243,IC50,TEMSIROLIMUS,COLO-668,CHEMBL2363847,BAO_0000219,5.08,SANGER: Inhibition of human COLO-668 cell growth in a cell viability assay.
CHEMBL2366134,Homo sapiens,None,None,13217324,IC50,TEMSIROLIMUS,D-423MG,CHEMBL2363170,BAO_0000219,6.37,SANGER: Inhibition of human D-423MG cell growth in a cell viability assay.
CHEMBL2366343,Homo sapiens,None,None,13217463,IC50,TEMSIROLIMUS,D-502MG,CHEMBL2363171,BAO_0000219,5.72,SANGER: Inhibition of human D-502MG cell growth in a cell viability assay.
CHEMBL2366355,Homo sapiens,None,None,13217607,IC50,TEMSIROLIMUS,A388,CHEMBL2363727,BAO_0000219,5.12,SANGER: Inhibition of human A388 cell growth in a cell viability assay.
CHEMBL614529,Homo sapiens,None,None,13217841,IC50,TEMSIROLIMUS,BT-474,CHEMBL2363764,BAO_0000219,6.0,SANGER: Inhibition of human BT-474 cell growth in a cell viability assay.
CHEMBL614072,Homo sapiens,None,None,13217899,IC50,TEMSIROLIMUS,BT-549,CHEMBL2363765,BAO_0000219,5.87,SANGER: Inhibition of human BT-549 cell growth in a cell viability assay.
CHEMBL1075425,Homo sapiens,None,None,13218061,IC50,TEMSIROLIMUS,COLO-678,CHEMBL2363848,BAO_0000219,5.15,SANGER: Inhibition of human COLO-678 cell growth in a cell viability assay.
CHEMBL1075426,Homo sapiens,None,None,13218160,IC50,TEMSIROLIMUS,COLO-679,CHEMBL2363849,BAO_0000219,5.86,SANGER: Inhibition of human COLO-679 cell growth in a cell viability assay.
CHEMBL2366208,Homo sapiens,None,None,13218296,IC50,TEMSIROLIMUS,D-542MG,CHEMBL2363172,BAO_0000219,7.11,SANGER: Inhibition of human D-542MG cell growth in a cell viability assay.
